(u'2014', (u'102170', -24.3))
(u'2013', (u'102170', -13.3))
(u'2012', (u'102190', -27.0))
(u'2011', (u'102190', -25.8))
(u'2010', (u'102190', -28.9))
(u'2009', (u'102190', -23.7))
(u'2008', (u'102190', -19.8))
(u'2007', (u'102190', -23.5))
(u'2006', (u'102190', -22.2))
(u'2005', (u'102190', -24.2))
(u'2004', (u'102190', -27.9))
(u'2003', (u'102190', -25.7))
(u'2002', (u'102190', -25.3))
(u'2001', (u'102190', -30.3))
(u'2000', (u'102190', -20.6))
(u'1999', (u'102210', -24.3))
(u'1998', (u'102210', -20.3))
(u'1997', (u'102210', -20.9))
(u'1996', (u'102210', -21.8))
(u'1995', (u'102210', -21.4))
(u'1994', (u'102210', -23.3))
(u'1993', (u'102210', -19.7))
(u'1992', (u'102210', -15.2))
(u'1991', (u'102210', -20.1))
(u'1990', (u'102210', -16.0))
(u'1989', (u'102210', -24.7))
(u'1988', (u'102200', -20.8))
(u'1987', (u'102200', -33.2))
(u'1986', (u'102200', -30.6))
(u'1985', (u'102200', -33.2))
(u'1984', (u'102200', -24.9))
(u'1983', (u'102200', -21.8))
(u'1982', (u'102200', -30.7))
(u'1981', (u'102200', -27.7))
(u'1980', (u'102190', -27.8))
(u'1979', (u'102190', -28.8))
(u'1978', (u'102190', -29.9))
(u'1977', (u'102190', -23.2))
(u'1976', (u'102190', -28.7))
(u'1975', (u'102190', -20.3))
(u'1974', (u'102190', -14.9))
(u'1973', (u'102190', -23.8))
(u'1972', (u'102190', -20.0))
(u'1971', (u'102190', -23.5))
(u'1970', (u'102190', -27.8))
(u'1969', (u'102190', -29.0))
(u'1968', (u'102190', -27.2))
(u'1967', (u'102190', -26.9))
(u'1966', (u'102190', -32.8))
(u'1965', (u'102190', -26.2))
(u'1964', (u'102190', -22.0))
(u'1963', (u'102190', -27.5))
(u'1962', (u'102190', -23.0))
(u'1961', (u'102190', -23.8))
(u'1960', (u'102190', -28.3))
(u'1959', (u'102190', -23.2))
(u'1958', (u'102190', -27.9))
(u'1957', (u'102190', -19.9))
(u'1956', (u'102190', -30.0))
(u'1955', (u'102190', -26.2))
(u'1954', (u'103090', -30.0))
(u'1953', (u'103090', -25.6))
(u'1952', (u'103090', -26.5))
(u'1951', (u'103090', -23.0))
(u'1950', (u'103090', -28.4))
