Row(year=1975, max_temp=36.1)
Row(year=1992, max_temp=35.4)
Row(year=1994, max_temp=34.7)
Row(year=2010, max_temp=34.4)
Row(year=1989, max_temp=33.9)
Row(year=1982, max_temp=33.8)
Row(year=1968, max_temp=33.7)
Row(year=1966, max_temp=33.5)
Row(year=1983, max_temp=33.3)
Row(year=2002, max_temp=33.3)
Row(year=1986, max_temp=33.2)
Row(year=1970, max_temp=33.2)
Row(year=1956, max_temp=33.0)
Row(year=2000, max_temp=33.0)
Row(year=1959, max_temp=32.8)
Row(year=1991, max_temp=32.7)
Row(year=2006, max_temp=32.7)
Row(year=1988, max_temp=32.6)
Row(year=2011, max_temp=32.5)
Row(year=1999, max_temp=32.4)
Row(year=1953, max_temp=32.2)
Row(year=2003, max_temp=32.2)
Row(year=2007, max_temp=32.2)
Row(year=2008, max_temp=32.2)
Row(year=1955, max_temp=32.2)
Row(year=1973, max_temp=32.2)
Row(year=2005, max_temp=32.1)
Row(year=1969, max_temp=32.0)
Row(year=1979, max_temp=32.0)
Row(year=2001, max_temp=31.9)
Row(year=1977, max_temp=31.8)
Row(year=1997, max_temp=31.8)
Row(year=2013, max_temp=31.6)
Row(year=2009, max_temp=31.5)
Row(year=2012, max_temp=31.3)
Row(year=1964, max_temp=31.2)
Row(year=1971, max_temp=31.2)
Row(year=1972, max_temp=31.2)
Row(year=1976, max_temp=31.1)
Row(year=1961, max_temp=31.0)
Row(year=1963, max_temp=31.0)
Row(year=1978, max_temp=30.8)
Row(year=1995, max_temp=30.8)
Row(year=1996, max_temp=30.8)
Row(year=1958, max_temp=30.8)
Row(year=1974, max_temp=30.6)
Row(year=1954, max_temp=30.5)
Row(year=1952, max_temp=30.4)
Row(year=1980, max_temp=30.4)
Row(year=1990, max_temp=30.2)
Row(year=2004, max_temp=30.2)
Row(year=1985, max_temp=29.8)
Row(year=1957, max_temp=29.8)
Row(year=1981, max_temp=29.7)
Row(year=1993, max_temp=29.7)
Row(year=1987, max_temp=29.6)
Row(year=1984, max_temp=29.5)
Row(year=1967, max_temp=29.5)
Row(year=1960, max_temp=29.4)
Row(year=1998, max_temp=29.2)
Row(year=1951, max_temp=28.5)
Row(year=1965, max_temp=28.5)
Row(year=1962, max_temp=27.4)
