Row(year=1990, min_temp=-35.0)
Row(year=1952, min_temp=-35.5)
Row(year=1974, min_temp=-35.6)
Row(year=1954, min_temp=-36.0)
Row(year=1992, min_temp=-36.1)
Row(year=1975, min_temp=-37.0)
Row(year=1972, min_temp=-37.5)
Row(year=2000, min_temp=-37.6)
Row(year=1995, min_temp=-37.6)
Row(year=1957, min_temp=-37.8)
Row(year=1983, min_temp=-38.2)
Row(year=1989, min_temp=-38.2)
Row(year=1953, min_temp=-38.4)
Row(year=2009, min_temp=-38.5)
Row(year=1993, min_temp=-39.0)
Row(year=1984, min_temp=-39.2)
Row(year=1973, min_temp=-39.3)
Row(year=1991, min_temp=-39.3)
Row(year=2008, min_temp=-39.3)
Row(year=2005, min_temp=-39.4)
Row(year=1961, min_temp=-39.5)
Row(year=1964, min_temp=-39.5)
Row(year=1970, min_temp=-39.6)
Row(year=2004, min_temp=-39.7)
Row(year=1988, min_temp=-39.9)
Row(year=1960, min_temp=-40.0)
Row(year=1997, min_temp=-40.2)
Row(year=1994, min_temp=-40.5)
Row(year=2006, min_temp=-40.6)
Row(year=2007, min_temp=-40.7)
Row(year=2013, min_temp=-40.7)
Row(year=1963, min_temp=-41.0)
Row(year=1955, min_temp=-41.2)
Row(year=1969, min_temp=-41.5)
Row(year=2003, min_temp=-41.5)
Row(year=1996, min_temp=-41.7)
Row(year=2010, min_temp=-41.7)
Row(year=1951, min_temp=-42.0)
Row(year=1962, min_temp=-42.0)
Row(year=1968, min_temp=-42.0)
Row(year=2011, min_temp=-42.0)
Row(year=1982, min_temp=-42.2)
Row(year=1976, min_temp=-42.2)
Row(year=2002, min_temp=-42.2)
Row(year=1977, min_temp=-42.5)
Row(year=1998, min_temp=-42.7)
Row(year=2012, min_temp=-42.7)
Row(year=1958, min_temp=-43.0)
Row(year=1985, min_temp=-43.4)
Row(year=1959, min_temp=-43.6)
Row(year=1979, min_temp=-44.0)
Row(year=2001, min_temp=-44.0)
Row(year=1965, min_temp=-44.0)
Row(year=1981, min_temp=-44.0)
Row(year=1986, min_temp=-44.2)
Row(year=1971, min_temp=-44.3)
Row(year=1956, min_temp=-45.0)
Row(year=1980, min_temp=-45.0)
Row(year=1967, min_temp=-45.4)
Row(year=1987, min_temp=-47.3)
Row(year=1978, min_temp=-47.7)
Row(year=1999, min_temp=-49.0)
Row(year=1966, min_temp=-49.4)
